Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2, C3, C4, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,5,100nf,
"C6, C7",CP_Radial_D5.0mm_P2.50mm,2,10uf,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
D3,LED_D5.0mm,1,LED,
J1,SD_Hirose_DM1AA_SF_PEJ82,1,SD_Card_Receptacle,
J2,PinHeader_1x02_P2.54mm_Vertical,1,LED Out,
J3,IDC-Header_2x10_P2.54mm_Vertical,1,20Pin Data Connector,
J4,IDC-Header_2x17_P2.54mm_Vertical,1,34Pin Control Connector,
J5,IDC-Header_2x04_P2.54mm_Vertical,1,Drive Select Jumper,
J6,TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical,1,Molex Power,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
"R2, R3, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,1K,
"U1, U2",DIP-20_W7.62mm,2,74LVC245,
U3,DIP-18_W7.62mm,1,ULN2803A,
"U4, U5",DIP-8_W7.62mm,2,SN75176AP,
U6,RPi_Pico_SMD_TH,1,Pico,
