Designator,Mid X,Mid Y,Rotation,Layer
BZ1,27.5,-76.8,0.0,top
C1,175.4,-94.48,0.0,top
C2,175.4,-129.7,0.0,top
C3,155.99,-73.6,0.0,top
C4,198.085,-37.9,180.0,top
C5,198.1,-60.5,0.0,top
C6,167.15,-44.6,0.0,top
C7,167.15,-32.6,0.0,top
D1,197.3,-20.6,0.0,top
D2,167.22,-20.6,0.0,top
D3,25.595,-95.2,0.0,top
J1,41.55,-121.7,270.0,top
J2,25.2,-25.93,0.0,top
J3,224.33,-66.25,0.0,top
J4,224.13,-125.62,0.0,top
J5,162.43,-138.81,0.0,top
J6,224.6,-30.16,90.0,top
R1,47.1,-95.4,0.0,top
R2,167.92,-119.9,0.0,top
R3,154.945,-88.9,0.0,top
R4,154.945,-92.975,0.0,top
R5,154.945,-97.2,0.0,top
R6,154.945,-101.675,0.0,top
R7,154.945,-105.575,0.0,top
U1,188.49,-141.15,0.0,top
U2,188.89,-105.93,0.0,top
U3,164.12,-63.01,270.0,top
U4,198.09,-49.11,0.0,top
U5,198.09,-71.58,0.0,top
U6,112.01,-87.175,0.0,top
